                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2203,                 1.0856,                 1.6918,                0.81706,                0.71594,                0.79683,                0.48708,                 1.3787,                 1.0173,                 1.9019,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.1965,                  1.081,                 1.6679,                0.85031,                 0.7431,                0.82282,                0.52098,                 1.3233,                0.95008,                 1.8394,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2028,                 1.0707,                 1.6502,                0.82189,                0.74658,                0.82565,                0.51609,                 1.3375,                0.95166,                 1.8612,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2322,                 1.0752,                 1.6833,                0.79217,                 0.7762,                0.81669,                0.50914,                 1.3585,                  1.021,                 1.8703,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2176,                 1.0706,                 1.6647,                0.86718,                 0.7235,                0.82263,                0.51849,                 1.3427,                0.96135,                 1.8679,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.1775,                 1.0544,                  1.643,                0.81784,                0.73884,                0.80218,                0.50269,                  1.371,                  1.004,                 1.8779,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.1942,                 1.0518,                 1.6542,                0.83902,                0.71926,                0.80104,                0.50219,                 1.3575,                0.96196,                 1.8743,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2007,                 1.0596,                 1.6483,                0.87195,                 0.7317,                0.83146,                0.52677,                 1.3044,                0.95931,                  1.815,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.1958,                 1.0492,                 1.6545,                0.86326,                0.72965,                0.83403,                 0.5265,                 1.3037,                0.95672,                 1.8083,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.1851,                 1.0555,                 1.6474,                0.81874,                0.77271,                0.82891,                0.51474,                 1.3331,                0.94669,                 1.8544,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1885,                 1.0495,                 1.6371,                0.82291,                0.75483,                0.81293,                0.50536,                 1.3614,                0.95111,                 1.8643,             0.00028072,             0.00028072,             0.00028072
                     86,                  1.189,                 1.0241,                 1.6576,                0.84363,                0.75164,                  0.818,                0.51052,                 1.3426,                0.95878,                 1.8545,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.2066,                 1.0456,                 1.6614,                0.86028,                0.74195,                0.82953,                0.51433,                  1.373,                0.95762,                 1.8765,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.1837,                  1.042,                 1.6353,                0.86306,                0.74581,                0.83275,                0.51821,                 1.3315,                0.93465,                 1.8562,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.1508,                 1.0008,                 1.6134,                0.84008,                0.77137,                0.82274,                0.52377,                 1.3099,                0.94511,                 1.8244,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.1509,                 1.0071,                 1.6162,                0.82612,                0.77486,                0.81213,                0.51498,                 1.3192,                0.95764,                 1.8472,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.0866,                0.88773,                 1.6305,                0.86342,                0.74467,                0.82333,                0.52619,                 1.3187,                   0.93,                 1.8493,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.0711,                0.82915,                 1.6303,                0.84094,                0.76709,                0.83632,                0.52327,                 1.3217,                0.93903,                 1.8583,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.0427,                0.79453,                  1.567,                0.86328,                0.75926,                0.83501,                0.52492,                 1.3131,                0.92064,                  1.834,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.0229,                0.77287,                 1.5644,                0.84666,                0.77172,                0.84066,                0.53683,                 1.2879,                0.91225,                 1.8082,             0.00013219,             0.00013219,             0.00013219
                     95,                  1.021,                0.77825,                 1.5535,                0.83011,                0.77335,                0.82835,                0.52441,                 1.2837,                0.91803,                 1.8037,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.0156,                0.76804,                 1.5525,                0.88313,                0.74481,                0.84024,                0.53073,                 1.3072,                0.91572,                 1.8197,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.0319,                0.76333,                 1.5633,                0.87864,                0.75158,                0.83431,                0.52746,                 1.3038,                  0.909,                 1.8197,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.0024,                0.76941,                 1.5445,                0.87817,                0.76615,                 0.8356,                0.52962,                 1.2982,                0.90321,                  1.821,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.99278,                0.74475,                 1.5485,                0.86964,                0.76626,                0.83535,                0.52842,                 1.2989,                0.90638,                 1.8181,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.0066,                0.75979,                  1.544,                0.87061,                0.76011,                0.83779,                0.53426,                 1.2918,                0.89949,                 1.8107,             3.3173e-05,             3.3173e-05,             3.3173e-05
